page,definition,url,bucket_1_collection,bucket_2_authorization,bucket_3_collaboration,bucket_4_sharing,bucket_5_re-use,bucket_6_moving,bucket_7_travel,bucket_8_deposit,bucket_9_storage,bucket_10_active-management,bucket_11_policies,bucket_12_destruction-retention,bucket_13_hpc,bucket_14,bucket_15
Collecting anonymous data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",anonymous-data,collection,authorization,,,,,,,,,,,,,
Data collection tools,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",collection-tools,collection,authorization,,,,,,,,,,,,,
Data curation,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",curation,,,,,,,,deposit,,,,destruction-retention,,,
Data licencing / Copyright / Ownership,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",licencing-copyright,,,collaborations,sharing,re-use,,,deposit,storage,active-management,,,,,
Data Stewardship,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",stewardship,,,,,re-use,,,deposit,,,,destruction-retention,,,
Data transfer,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",transfer,collection,authorization,collaborations,sharing,,,travel,,,,,,,,
De-identifying data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",de-identifcation,collection,authorization,,,,,,deposit,storage,active-management,,,hpc,,
Do I need an ethics application,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ethics,,,,,,,,,,,,,,,
Do I need to amend my ethics application,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",amend-ethics,collection,authorization,collaborations,sharing,re-use,moving,travel,deposit,storage,active-management,,,,,
From UBC,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",from-ubc,,,collaborations,sharing,,moving,,,,,,,,,
